Common_Name,Family,Diameter_Breast_Height,Age_Description
English Elm,Ulmaceae,57,Mature
Chinese Elm,Ulmaceae,,
Manchurian Pear,Rosaceae,,
Grey Sheoak,Casuarinaceae,,
Wattle,Fabaceae,,
English Elm,Ulmaceae,56,Mature
River red gum,Myrtaceae,,
London Plane,Platanaceae,,
Sydney Blue Gum,Myrtaceae,62,Mature
Flinders Range Wattle,Fabaceae,,
Chinese Elm,Ulmaceae,15,Semi-Mature
River red gum,Myrtaceae,,
Golden Wattle,Fabaceae,,
Red Box,Myrtaceae,,
River red gum,Myrtaceae,,
Golden Monterey Cypress,Cupressaceae,,
Wirilda,Fabaceae,,
Elm,Ulmaceae,93,Mature
Drooping sheoak,Casuarinaceae,,
Huntingdon Elm,Ulmaceae,22,Semi-Mature
London Plane,Platanaceae,21,Semi-Mature
Lightwood Wattle,Fabaceae,,
Moreton Bay Fig,Moraceae,112,Mature
Yellow Box,Myrtaceae,,
Yellow Box,Myrtaceae,,
London Plane,Platanaceae,44,Mature
Black Wattle,Fabaceae,,
Lilly Pilly,Myrtaceae,,
Elm,Ulmaceae,,
River red gum,Myrtaceae,,
Black She Oak,Casuarinaceae,,
Wilga,Rutaceae,,
Elm,Ulmaceae,110,Mature
Smooth-barked apple,Myrtaceae,,
Native Apricot,Pittosporaceae,,
Yellow Box,Myrtaceae,65,Mature
London Plane,Platanaceae,35,Semi-Mature
Japanese Zelkova,Ulmaceae,,
Yellow Box,Myrtaceae,,
Golden Wattle,Fabaceae,,
River Sheoak,Casuarinaceae,,
Flame Tree,Malvaceae,,
River red gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Green Honey Locust,Fabaceae,,
River red gum,Myrtaceae,,
Spotted Gum,Myrtaceae,20,Semi-Mature
River red gum,Myrtaceae,,
English Elm,Ulmaceae,83,Mature
Drooping sheoak,Casuarinaceae,,
Maidenhair Tree,Ginkgoaceae,,
Queensland kauri pine,Araucariaceae,4,New
Peppercorn Tree,Anacardiaceae,20,Semi-Mature
Willow Gum,Myrtaceae,,
Kanooka,Myrtaceae,1,Juvenile
Coastal Banksia,Proteaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Brush Box,Myrtaceae,29,Semi-Mature
Drooping sheoak,Casuarinaceae,,
River red gum,Myrtaceae,,
Red Oak,Fagaceae,,
Lemon Scented Gum,Myrtaceae,9,Juvenile
Golden Wattle,Fabaceae,,
Chanticleer Pear,Rosaceae,,
Elm,Ulmaceae,66,Mature
Queensland kauri pine,Araucariaceae,,
Hill¿s Weeping Fig,Moraceae,16,Semi-Mature
English Elm,Ulmaceae,83,Mature
Aleppo Pine,Pinaceae,,
Dutch Elm,Ulmaceae,,
Black Wattle,Fabaceae,29,Semi-Mature
River red gum,Myrtaceae,,
tba,Rosaceae,,
Chinese Poplar,Salicaceae,55,Over-mature
Gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
Mexican or Washington Palm,Arecaceae,64,Mature
Lemon Scented Gum,Myrtaceae,,
Smooth-barked apple,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Swamp Sheoak,Casuarinaceae,,
Peppercorn Tree,Anacardiaceae,37,Semi-Mature
Small-leaved Linden,Malvaceae,,
Ironbark,Myrtaceae,,
Red Oak,Fagaceae,,
Sweet Bursaria,Pittosporaceae,,
Simon Poplar,Salicaceae,,
Small-leaved Linden,Malvaceae,,
Jacaranda,Bignoniaceae,,
Drooping sheoak,Casuarinaceae,10,Semi-Mature
Spotted Gum,Myrtaceae,,
Manna Gum,Myrtaceae,37,Semi-Mature
Black Wattle,Fabaceae,,
English Elm,Ulmaceae,92,Mature
Canary Island Pine,Pinaceae,81,Mature
Drooping sheoak,Casuarinaceae,,
Little kurrajong,Malvaceae,,
Bangalay,Myrtaceae,105,Over-mature
Manna Gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
River red gum,Myrtaceae,,
Red Box,Myrtaceae,,
Swamp Sheoak,Casuarinaceae,,
Black Wattle,Fabaceae,,
Maidenhair Tree,Ginkgoaceae,2,Juvenile
River Sheoak,Casuarinaceae,,
London Plane,Platanaceae,15,Semi-Mature
Silver Banksia,Proteaceae,,
Spotted Gum,Myrtaceae,,
Norwegian Sunset Maple,Sapindaceae,6,New
Elm,Ulmaceae,94,Mature
River red gum,Myrtaceae,,
Swamp Paperbark,Myrtaceae,,
Flowering Gum,Myrtaceae,12,Semi-Mature
Chinese weeping cypress,Cupressaceae,,
Wirilda,Fabaceae,,
Yellow Box,Myrtaceae,,
River red gum,Myrtaceae,,
Lemon Scented Gum,Myrtaceae,,
Camphor Laurel,Lauraceae,,
Chinese weeping cypress,Cupressaceae,,
Lemon Scented Gum,Myrtaceae,,
Callistemon Kings Park Special,Myrtaceae,7,Semi-Mature
London Plane,Platanaceae,18,Semi-Mature
English Elm,Ulmaceae,19,Semi-Mature
Judas Tree,Fabaceae,,
River red gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
River red gum,Myrtaceae,,
Huntingdon Elm,Ulmaceae,62,Mature
Photinia,Rosaceae,0,Over-mature
Moreton Bay Fig,Moraceae,,
Golden Honeylocust,Fabaceae,,
Hill¿s Weeping Fig,Moraceae,7,Juvenile
River red gum,Myrtaceae,,
Weeping Myrtle,Myrtaceae,,
Ironbark,Myrtaceae,,
Banksia Sentinel,Proteaceae,,
Moreton Bay Fig,Moraceae,101,Mature
River red gum,Myrtaceae,3,New
Elm,Ulmaceae,27,Semi-Mature
Red Box,Myrtaceae,,
Algerian Oak,Fagaceae,39,Semi-Mature
London Plane,Platanaceae,22,Semi-Mature
Canary Island Date Palm,Arecaceae,72,Mature
Flame Tree,Malvaceae,1,New
Freeman Maple,Sapindaceae,8,Juvenile
Yellow Box,Myrtaceae,,
London Plane,Platanaceae,33,Semi-Mature
Black Wattle,Fabaceae,,
Rose sheoak,Casuarinaceae,,
London Plane,Platanaceae,27,Semi-Mature
Maidenhair Tree,Ginkgoaceae,,
Spotted Gum,Myrtaceae,28,Semi-Mature
River red gum,Myrtaceae,6,Juvenile
Brittle Gum,Myrtaceae,31,Semi-Mature
Golden Honeylocust,Fabaceae,34,Mature
Black Wattle,Fabaceae,,
Chinaberry Tree,Meliaceae,6,New
London Plane,Platanaceae,66,Mature
Spotted Gum,Myrtaceae,,
English Oak,Fagaceae,17,Juvenile
River red gum,Myrtaceae,,
Elm,Ulmaceae,101,Mature
River red gum,Myrtaceae,,
Yellow Chestnut Oak,Fagaceae,,
River red gum,Myrtaceae,,
Freeman Maple,Sapindaceae,,
River Sheoak,Casuarinaceae,14,Semi-Mature
Freeman Maple,Sapindaceae,9,Juvenile
River red gum,Myrtaceae,,
Moreton Bay Fig,Moraceae,142,Mature
Hoop Pine,Araucariaceae,,
Wilga,Rutaceae,,
Yellow Box,Myrtaceae,,
Snow-in-Summer,Myrtaceae,30,Semi-Mature
Golden Wattle,Fabaceae,,
Sallow Wattle,Fabaceae,,
Japanese Chestnut Oak,Fagaceae,,
River red gum,Myrtaceae,,
Monterey Pine,Pinaceae,99,Mature
Chinese Pistachio,Anacardiaceae,,
River red gum,Myrtaceae,,
Lemon Scented Gum,Myrtaceae,5,New
Cut-leaf Turkey Oak,Fagaceae,,
London Plane,Platanaceae,13,Semi-Mature
Yellow Gum,Myrtaceae,75,Mature
Drooping sheoak,Casuarinaceae,,
Scarlet Bottlebrush,Myrtaceae,,
Queensland kauri pine,Araucariaceae,90,Mature
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Elm,Ulmaceae,89,Mature
Drooping sheoak,Casuarinaceae,28,Semi-Mature
Lightwood Wattle,Fabaceae,,
Silky Oak,Proteaceae,,
Yellow Box,Myrtaceae,0,New
Spotted Gum,Myrtaceae,,
Black Wattle,Fabaceae,,
London Plane,Platanaceae,28,Semi-Mature
Yellow Box,Myrtaceae,,
Golden Spray,Fabaceae,,
Cyprus Plane,Platanaceae,,
Japanese Zelkova,Ulmaceae,41,Semi-Mature
Yellow Box,Myrtaceae,,
Smooth-barked apple,Myrtaceae,30,Semi-Mature
Chinese Elm,Ulmaceae,18,Semi-Mature
Kurrajong,Malvaceae,,
Black matipo,Pittosporaceae,,
Gum,Myrtaceae,,
Boobialla,Scrophulariaceae,,
Silver Wattle,Fabaceae,,
River red gum,Myrtaceae,,
Aleppo Pine,Pinaceae,,
Black Wattle,Fabaceae,,
Golden Wattle,Fabaceae,,
Yellow Box,Myrtaceae,,
European nettle tree,Cannabaceae,,
Chinese Pistachio,Anacardiaceae,,
Golden Wattle,Fabaceae,,
River red gum,Myrtaceae,,
Rottnest Island Pine,Cupressaceae,,
London Plane,Platanaceae,25,Semi-Mature
River red gum,Myrtaceae,,
Norfolk Island Pine,Araucariaceae,,
Australian teak,Rutaceae,,
Kurrajong,Malvaceae,,
Smooth-barked apple,Myrtaceae,20,Semi-Mature
Kanooka,Myrtaceae,,
Lemon Scented Gum,Myrtaceae,32,Semi-Mature
Willow Bottlebrush,Myrtaceae,,
River Sheoak,Casuarinaceae,,
Smooth-barked apple,Myrtaceae,10,Semi-Mature
Yellow Box,Myrtaceae,,
Yellow Gum,Myrtaceae,,
English Elm,Ulmaceae,,
Drooping sheoak,Casuarinaceae,,
Yellow Gum,Myrtaceae,,
European nettle tree,Cannabaceae,,
Blueberry ash,Elaeocarpaceae,7,Juvenile
Freeman Maple,Sapindaceae,5,Juvenile
Japanese Zelkova,Ulmaceae,12,Semi-Mature
Black Wattle,Fabaceae,,
Smooth-barked apple,Myrtaceae,15,Juvenile
Drooping sheoak,Casuarinaceae,,
Yellow Gum,Myrtaceae,,
Smooth-barked apple,Myrtaceae,10,Juvenile
Black Wattle,Fabaceae,,
Black Wattle,Fabaceae,,
Spotted Gum,Myrtaceae,39,Semi-Mature
Black Wattle,Fabaceae,,
Manna Gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Manchurian Pear,Rosaceae,,
Manna Gum,Myrtaceae,,
Sheoak,Casuarinaceae,,
Sweet Pittosporum,Pittosporaceae,13,Semi-Mature
Wilga,Rutaceae,,
Spotted Gum,Myrtaceae,26,Semi-Mature
Yellow Gum,Myrtaceae,,
Variegated Elm,Ulmaceae,30,Semi-Mature
Elm,Ulmaceae,,
Chinaberry Tree,Meliaceae,,
Drooping sheoak,Casuarinaceae,,
Moreton Bay Fig,Moraceae,,
London Plane,Platanaceae,20,Semi-Mature
Smooth-barked apple,Myrtaceae,,
Silver Banksia,Proteaceae,,
Red Box,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
English Elm,Ulmaceae,18,Semi-Mature
Black Wattle,Fabaceae,,
Manna Gum,Myrtaceae,,
Varnish Wattle,Fabaceae,,
Yellow Gum,Myrtaceae,,
Snow-in-Summer,Myrtaceae,16,Semi-Mature
Spotted Gum,Myrtaceae,,
Canary Island Date Palm,Arecaceae,0,Juvenile
Port Jackson or Rusty Fig,Moraceae,,
Drooping sheoak,Casuarinaceae,,
Red Flowering Yellow Gum,Myrtaceae,,
Varnish Wattle,Fabaceae,,
English Elm,Ulmaceae,86,Mature
English Elm,Ulmaceae,72,Mature
Black Wattle,Fabaceae,,
Wilga,Rutaceae,,
Yellow Box,Myrtaceae,,
Cyprus Plane,Platanaceae,33,Semi-Mature
Chinese Elm,Ulmaceae,,
Pin Oak,Fagaceae,75,Mature
Callery Pear,Rosaceae,14,Semi-Mature
English Elm,Ulmaceae,,
Drooping sheoak,Casuarinaceae,,
Norfolk Island Pine,Araucariaceae,,
River red gum,Myrtaceae,,
Wirilda,Fabaceae,,
Japanese Zelkova,Ulmaceae,,
Black Wattle,Fabaceae,,
Bangalay,Myrtaceae,124,Over-mature
Varnish Wattle,Fabaceae,,
Aleppo Pine,Pinaceae,,
River red gum,Myrtaceae,,
Golden Wattle,Fabaceae,,
Senegal Date Palm,Arecaceae,0,Semi-Mature
Yellow Box,Myrtaceae,,
Lemon Scented Gum,Myrtaceae,,
Yellow Gum,Myrtaceae,19,Semi-Mature
Lemon Scented Gum,Myrtaceae,22,Semi-Mature
River red gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
London Plane,Platanaceae,67,Mature
Silver Banksia,Proteaceae,,
Yellow Box,Myrtaceae,,
Red Box,Myrtaceae,,
River red gum,Myrtaceae,,
London Plane,Platanaceae,54,Mature
London Plane,Platanaceae,,
Ivy curl,Proteaceae,,
Callery Pear,Rosaceae,34,Semi-Mature
English Elm,Ulmaceae,,
Maidenhair Tree,Ginkgoaceae,10,Semi-Mature
River red gum,Myrtaceae,,
Elm,Ulmaceae,,
Elm,Ulmaceae,66,Mature
Simon Poplar,Salicaceae,47,Mature
Dutch Elm,Ulmaceae,73,Mature
`Rosea¿ Red Ironbark,Myrtaceae,,
Varnish Wattle,Fabaceae,,
Moreton Bay Fig,Moraceae,,
Red Oak,Fagaceae,,
London Plane,Platanaceae,24,Semi-Mature
Black Wattle,Fabaceae,,
Prickly Paperbark,Myrtaceae,,
River red gum,Myrtaceae,,
Crepe Myrtle,Lythraceae,5,Juvenile
River red gum,Myrtaceae,2,New
River red gum,Myrtaceae,,
Small-leaved Linden,Malvaceae,,
Black Wattle,Fabaceae,,
Lemon Scented Gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Cimmaron Ash,Oleaceae,,
Swamp Gum,Myrtaceae,,
London Plane,Platanaceae,,
Moptop,Fabaceae,12,Semi-Mature
Black Wattle,Fabaceae,,
Red Ironbark,Myrtaceae,,
London Plane,Platanaceae,19,Semi-Mature
Camphor Laurel,Lauraceae,,
Grey Sheoak,Casuarinaceae,,
Crows Nest Poplar,Salicaceae,19,Semi-Mature
Black Wattle,Fabaceae,,
Grey Sheoak,Casuarinaceae,,
Variegated Elm,Ulmaceae,49,Semi-Mature
Yellow Box,Myrtaceae,,
River red gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
London Plane,Platanaceae,12,Juvenile
Yellow Gum,Myrtaceae,,
River red gum,Myrtaceae,,
London Plane,Platanaceae,55,Mature
Yellow Box,Myrtaceae,,
Chinese Juniper,Cupressaceae,,
Black Wattle,Fabaceae,,
Sweet Bursaria,Pittosporaceae,,
Black Wattle,Fabaceae,,
Crepe Myrtle,Lythraceae,,
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Black Wattle,Fabaceae,,
London Plane,Platanaceae,20,Semi-Mature
River red gum,Myrtaceae,,
Pohutukawa,Myrtaceae,,
London Plane,Platanaceae,50,Mature
Lemon Scented Gum,Myrtaceae,,
River red gum,Myrtaceae,,
Pin Oak,Fagaceae,37,Semi-Mature
Boobialla,Scrophulariaceae,,
Moonah,Myrtaceae,,
Scarlet Oak,Fagaceae,,
River red gum,Myrtaceae,,
Weeping Bottlebrush,Myrtaceae,,
Pin Oak,Fagaceae,,
Bangalay,Myrtaceae,105,Mature
River red gum,Myrtaceae,,
Wilga,Rutaceae,,
Liquidamber or Sweet Gum,Altingiaceae,,
Spotted Gum,Myrtaceae,,
River red gum,Myrtaceae,,
Elm,Ulmaceae,84,Mature
Himalayan Birch,Betulaceae,,
Sweet Bursaria,Pittosporaceae,,
Hill¿s Weeping Fig,Moraceae,16,Juvenile
Flinders Range Wattle,Fabaceae,0,New
Weaping Myall,Fabaceae,,
Canary Island Pine,Pinaceae,,
Wilga,Rutaceae,,
Yellow Box,Myrtaceae,,
Green Vase,Ulmaceae,,
Black Wattle,Fabaceae,,
English Elm,Ulmaceae,88,Mature
Hedge Maple,Sapindaceae,,
Lightwood Wattle,Fabaceae,,
Drooping sheoak,Casuarinaceae,,
Lemon Bottlebrush,Myrtaceae,,
River red gum,Myrtaceae,,
Willow Gum,Myrtaceae,12,Juvenile
Cyprus Plane,Platanaceae,,
Black Wattle,Fabaceae,,
Flowering Gum,Myrtaceae,13,Juvenile
London Plane,Platanaceae,22,Semi-Mature
London Plane,Platanaceae,16,Semi-Mature
European nettle tree,Cannabaceae,,
Prickly Paperbark,Myrtaceae,,
London Plane,Platanaceae,54,Mature
Lightwood Wattle,Fabaceae,,
River Sheoak,Casuarinaceae,,
Sweet Bursaria,Pittosporaceae,,
Spotted Gum,Myrtaceae,27,Semi-Mature
Small-leaved Linden,Malvaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,26,Semi-Mature
Elm,Ulmaceae,,
Velvet Ash,Oleaceae,28,Semi-Mature
Moreton Bay Fig,Moraceae,134,Mature
Red Box,Myrtaceae,,
Jacaranda,Bignoniaceae,43,Mature
Foxglove or Princess Tree,Paulowniaceae,,
Outeniqua yellowwood,Podocarpaceae,,
Manna Gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Queensland kauri pine,Araucariaceae,,
London Plane,Platanaceae,10,Juvenile
Black Wattle,Fabaceae,,
English Oak,Fagaceae,11,Juvenile
Photinia,Rosaceae,,
Black Wattle,Fabaceae,,
Flame Tree,Malvaceae,6,Juvenile
Sweet Bursaria,Pittosporaceae,,
Elm,Ulmaceae,,
River red gum,Myrtaceae,,
UNKNOWN,UNKNOWN,,
London Plane,Platanaceae,48,Mature
Yellow Box,Myrtaceae,11,Juvenile
Ironbark,Myrtaceae,30,Semi-Mature
River red gum,Myrtaceae,,
Elm,Ulmaceae,13,Semi-Mature
Golden Wattle,Fabaceae,,
Wilga,Rutaceae,,
Yellow Gum,Myrtaceae,,
Red Cedar,Meliaceae,,
Lombardy Poplar,Salicaceae,112,Mature
Callery Pear,Rosaceae,11,Juvenile
Lightwood Wattle,Fabaceae,,
Smooth-barked apple,Myrtaceae,28,Semi-Mature
Yellow Box,Myrtaceae,,
Wilga,Rutaceae,,
Willow Gum,Myrtaceae,,
Wilga,Rutaceae,,
Sugar gum,Myrtaceae,,
English Elm,Ulmaceae,80,Mature
Maidenhair Tree,Ginkgoaceae,,
River red gum,Myrtaceae,,
Snow-in-Summer,Myrtaceae,15,Juvenile
Sweet Bursaria,Pittosporaceae,,
Lemon Scented Gum,Myrtaceae,,
Snow-in-Summer,Myrtaceae,76,Mature
Lightwood Wattle,Fabaceae,,
Lightwood Wattle,Fabaceae,,
Spotted Gum,Myrtaceae,,
Crimson Bottlebrush,Myrtaceae,,
Brush Box,Myrtaceae,34,Mature
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Crepe Myrtle,Lythraceae,,
Grey Sheoak,Casuarinaceae,,
Silver Wattle,Fabaceae,,
Elm,Ulmaceae,79,Mature
Sugar gum,Myrtaceae,,
River red gum,Myrtaceae,,
English Elm,Ulmaceae,99,Over-mature
Chinaberry Tree,Meliaceae,18,Semi-Mature
Pyramid Tree,Malvaceae,24,Semi-Mature
Red Oak,Fagaceae,5,Juvenile
Moreton Bay Fig,Moraceae,,
Sugar gum,Myrtaceae,,
Golden Wattle,Fabaceae,,
Smooth-barked apple,Myrtaceae,,
Queensland kauri pine,Araucariaceae,,
English Oak,Fagaceae,,
Red maple,Sapindaceae,,
English Elm,Ulmaceae,4,Juvenile
Freeman Maple,Sapindaceae,12,Juvenile
London Plane,Platanaceae,70,Mature
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Boobialla,Scrophulariaceae,,
English Elm,Ulmaceae,100,Mature
Smooth-barked apple,Myrtaceae,34,Semi-Mature
Freeman Maple,Sapindaceae,,
Sweet Bursaria,Pittosporaceae,,
London Plane,Platanaceae,46,Mature
Drooping sheoak,Casuarinaceae,,
Drooping sheoak,Casuarinaceae,,
Coastal Banksia,Proteaceae,,
Spotted Gum,Myrtaceae,27,Semi-Mature
River Sheoak,Casuarinaceae,,
Peppercorn Tree,Anacardiaceae,29,Semi-Mature
Yellow Box,Myrtaceae,,
European nettle tree,Cannabaceae,,
Wilga,Rutaceae,,
London Plane,Platanaceae,28,Semi-Mature
Monterey Pine,Pinaceae,84,Mature
Ovens Wattle,Fabaceae,,
Hill¿s Weeping Fig,Moraceae,,
Lemon Scented Gum,Myrtaceae,8,New
Manna Gum,Myrtaceae,22,Semi-Mature
London Plane,Platanaceae,36,Semi-Mature
Silver Wattle,Fabaceae,,
Coolgardie Gum,Myrtaceae,,
Firewheel Tree,Proteaceae,10,Juvenile
River red gum,Myrtaceae,,
Silver Wattle,Fabaceae,,
Stone Pine,Pinaceae,,
Unknown,Myrtaceae,,
Coastal Banksia,Proteaceae,12,Semi-Mature
Blueberry ash,Elaeocarpaceae,5,Juvenile
Lemon Scented Gum,Myrtaceae,9,Juvenile
River red gum,Myrtaceae,8,New
Freeman Maple,Sapindaceae,,
Flame Tree,Malvaceae,,
Brittle Gum,Myrtaceae,,
Spotted Gum,Myrtaceae,,
Elm,Ulmaceae,24,Semi-Mature
Flinders Range Wattle,Fabaceae,19,Semi-Mature
Sallow Wattle,Fabaceae,,
Elm,Ulmaceae,16,Semi-Mature
Yellow Box,Myrtaceae,,
Callery Pear,Rosaceae,7,Juvenile
River red gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Lemon Scented Gum,Myrtaceae,16,Semi-Mature
Golden Wattle,Fabaceae,,
Dutch Elm,Ulmaceae,20,Semi-Mature
Yellow Box,Myrtaceae,,
Canary Island Date Palm,Arecaceae,70,Mature
London Plane,Platanaceae,46,Mature
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Smooth-barked apple,Myrtaceae,21,Semi-Mature
Wirilda,Fabaceae,,
Lightwood Wattle,Fabaceae,,
Sugar gum,Myrtaceae,,
Spotted Gum,Myrtaceae,7,Juvenile
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Ironbark,Myrtaceae,,
River red gum,Myrtaceae,,
Swamp Paperbark,Myrtaceae,,
Red maple,Sapindaceae,,
Red Oak,Fagaceae,,
River red gum,Myrtaceae,,
Sweet Bursaria,Pittosporaceae,,
Drooping sheoak,Casuarinaceae,,
London Plane,Platanaceae,44,Mature
Dutch Elm,Ulmaceae,59,Mature
Showy Honey Myrtle,Myrtaceae,0,Mature
River red gum,Myrtaceae,,
Kanooka,Myrtaceae,23,Semi-Mature
London Plane,Platanaceae,23,Semi-Mature
Huntingdon Elm,Ulmaceae,72,Mature
Gossamer Wattle,Fabaceae,32,Mature
Monterey Pine,Pinaceae,100,Mature
Black Wattle,Fabaceae,,
Grey Sheoak,Casuarinaceae,,
English Elm,Ulmaceae,,
Dutch Elm,Ulmaceae,26,Semi-Mature
Lemon Bottlebrush,Myrtaceae,,
Gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Japanese Chestnut Oak,Fagaceae,,
Drooping sheoak,Casuarinaceae,,
Desert Ash,Oleaceae,,
Grey Box,Myrtaceae,,
Black Wattle,Fabaceae,12,Semi-Mature
Camphor Laurel,Lauraceae,,
Bracelet Honey Myrtle,Myrtaceae,,
Yellow Box,Myrtaceae,57,Mature
London Plane,Platanaceae,69,Mature
Swamp Paperbark,Myrtaceae,,
Boobialla,Scrophulariaceae,,
Red Ash,Oleaceae,,
River red gum,Myrtaceae,,
Purple Branched Elm,Ulmaceae,65,Mature
Chinaberry Tree,Meliaceae,,
Yellow Gum,Myrtaceae,,
River red gum,Myrtaceae,,
Snow-in-Summer,Myrtaceae,,
Golden Wattle,Fabaceae,,
Drooping sheoak,Casuarinaceae,,
Yellow Box,Myrtaceae,61,Mature
American pepper,Anacardiaceae,,
Black She Oak,Casuarinaceae,,
London Plane,Platanaceae,68,Mature
Black Locust or False Acacia,Fabaceae,,
Coastal Banksia,Proteaceae,,
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Norfolk Island Pine,Araucariaceae,,
Spotted Gum,Myrtaceae,18,Semi-Mature
Sweet Pittosporum,Pittosporaceae,,
Moreton Bay Fig,Moraceae,107,Mature
Yellow Box,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Scarlet Oak,Fagaceae,,
Elm,Ulmaceae,89,Mature
English Elm,Ulmaceae,99,Mature
Rose sheoak,Casuarinaceae,,
Grey Sheoak,Casuarinaceae,,
Yellow Box,Myrtaceae,,
London Plane,Platanaceae,24,Semi-Mature
Yellow Gum,Myrtaceae,,
Sweet Bursaria,Pittosporaceae,,
River red gum,Myrtaceae,3,New
Snow-in-Summer,Myrtaceae,,
River red gum,Myrtaceae,,
Algerian Oak,Fagaceae,70,Mature
Silver Banksia,Proteaceae,,
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Red Box,Myrtaceae,,
Golden Wattle,Fabaceae,,
Olive,Oleaceae,,
Lemon Bottlebrush,Myrtaceae,,
Peppercorn Tree,Anacardiaceae,25,Semi-Mature
Chinese Elm,Ulmaceae,9,Semi-Mature
Lemon Bottlebrush,Myrtaceae,,
Coastal Banksia,Proteaceae,,
Smooth-barked apple,Myrtaceae,,
Red Box,Myrtaceae,32,Semi-Mature
Spotted Gum,Myrtaceae,19,Semi-Mature
River Sheoak,Casuarinaceae,,
London Plane,Platanaceae,46,Mature
London Plane,Platanaceae,40,Mature
Lemon Scented Gum,Myrtaceae,38,Semi-Mature
Chinese Elm,Ulmaceae,,
Canary Island Date Palm,Arecaceae,,
Dutch Elm,Ulmaceae,21,Semi-Mature
Peppercorn Tree,Anacardiaceae,33,Semi-Mature
Black Wattle,Fabaceae,,
Norfolk Island Pine,Araucariaceae,,
Freeman Maple,Sapindaceae,9,Juvenile
Mexican or Washington Palm,Arecaceae,,
River red gum,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
London Plane,Platanaceae,,
Brush Box,Myrtaceae,70,Mature
Kanooka,Myrtaceae,7,Juvenile
Drooping sheoak,Casuarinaceae,,
Lightwood Wattle,Fabaceae,,
Algerian Oak,Fagaceae,,
Yellow Box,Myrtaceae,,
River red gum,Myrtaceae,,
Hill¿s Weeping Fig,Moraceae,,
English Elm,Ulmaceae,13,Semi-Mature
Spotted Gum,Myrtaceae,73,Mature
River red gum,Myrtaceae,,
Spotted Gum,Myrtaceae,,
Peppercorn Tree,Anacardiaceae,49,Mature
River red gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Ironbark,Myrtaceae,,
Weeping Myrtle,Myrtaceae,57,Mature
Silver Wattle,Fabaceae,,
River Sheoak,Casuarinaceae,,
Cyprus Plane,Platanaceae,47,Mature
Snow-in-Summer,Myrtaceae,56,Mature
Yellow Box,Myrtaceae,,
Sweet Bursaria,Pittosporaceae,,
Elm,Ulmaceae,66,Mature
Wilga,Rutaceae,,
Hill¿s Weeping Fig,Moraceae,,
Sweet Bursaria,Pittosporaceae,,
Candlebark,Myrtaceae,,
London Plane,Platanaceae,,
Canary Island Date Palm,Arecaceae,76,Mature
Judas Tree,Fabaceae,,
Yellow Box,Myrtaceae,,
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Black She Oak,Casuarinaceae,,
Dutch Elm,Ulmaceae,119,Mature
Brush Box,Myrtaceae,16,Semi-Mature
River Birch,Betulaceae,,
Drooping sheoak,Casuarinaceae,17,Semi-Mature
Tasmainian Blue Gum,Myrtaceae,,
Black Wattle,Fabaceae,,
River red gum,Myrtaceae,,
English Elm,Ulmaceae,15,Semi-Mature
Lemon Scented Gum,Myrtaceae,27,Semi-Mature
Yellow Box,Myrtaceae,,
Spotted Gum,Myrtaceae,39,Semi-Mature
Elm,Ulmaceae,65,Mature
Black Wattle,Fabaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Cyprus Plane,Platanaceae,19,Semi-Mature
Large-fruited Yellow or Blue Gum,Myrtaceae,16,Semi-Mature
Japanese Chestnut Oak,Fagaceae,,
Brush Box,Myrtaceae,40,Mature
Black Wattle,Fabaceae,,
Sweet Bursaria,Pittosporaceae,,
River red gum,Myrtaceae,,
London Plane,Platanaceae,31,Semi-Mature
Yellow Box,Myrtaceae,,
Red Oak,Fagaceae,19,Semi-Mature
Golden Wattle,Fabaceae,,
